title,authors,description,categories,average_rating,ratings_count,published_year
2004 Novel and Short Story Writer's Market,"Anne Bowling, Michael Schweer, Vanessa Lyman","Lists addresses and information on contacts, pay rates, and submission requirements, and includes essays on the craft of writing.",Language Arts & Disciplines,,,2003
The World That Death Made,"Lloyd Jr. Biggle, Kenneth Lloyd Biggle","""First came pounding pain: blunt strokes of a relentless bludgeon that slowly ground Caland's brain cells to a pasty slime. When finally the brutal throbbing diminished, a searing rapier of blinding pain probed with fiery slashes, isolating, cauterizing each quivering nerve. His body twisted and turned, tensing with each scalding incision..."" Jarv Caland is told by the Polytechnic Institute that he had been killed--his skull crushed--in an accident. He'd been brought back to life by the Institute's renowned research team, his brain rebuilt with metal and wires and...who knows what else. This doesn't explain, though, why Caland is being transported around the galaxy to strange worlds, where he wakes up not remembering how he got there--or who he is--or why he's there. Death and destruction follow in his path: earthquakes, tidal waves, and volcanic eruptions of unprecedented size. And then he arrives on the world called Mort--death--where he must corner the demons that are haunting him, and finally face the puppet-masters who control his every move. A first-rate science fiction puzzle by a master storyteller!",Fiction,,,2013
Parameter Hierarchies and Universal Grammar,Ian G. Roberts,"In this book, Ian Roberts argues that the essential insight of the principles-and-parameters approach to variation can be maintained - albeit in a somewhat different guise - in the context of the minimalist programme. The book represents a significant new contribution to the formal study of cross-linguistic morphosyntactic variation.",Language Arts & Disciplines,,,2019
"Register of Doctors of Philosophy of the University of Chicago, June 1893-December 1921",University of Chicago,"This historic book may have numerous typos and missing text. Purchasers can usually download a free scanned copy of the original book (without typos) from the publisher. Not indexed. Not illustrated. 1922 edition. Excerpt: ...in Hyper-Space. THEoPHIL HENRY HILDEBRANT, Associate Professor of Mathematics, University of Michigan, Ann Arbor, Mich. A Contribution to the Foundations of Frechet's Calcul Fonctionnel. EGBERT J. MILEs, Assistant Professor of Mathematics, Yale University, New Haven, Conn. The Absolute Minimum of a Definite Integral in a Special Field. ANNA JoHNsoN PELL, Associate Professor of Mathematics, Bryn Mawr College, Bryn Mawr, Pa. I. Biorthogonal Systems of Functions..Theory of Integral Equations. ARTHUR DUNN PITCHER, Professor and Head of the Department of Mathematics, Western Reserve University, Cleveland, Ohio. The Interrelation of Eight Fundamental Properties of Classes of Functions. MARIoN BALLANTYNE WHITE, Associate Professor of Mathematics, and Dean of Women, Carleton College, Northfield, Minn. The Dependence of the Focal Point on Curvature in Space Problems of the Calculus of Variations. LLoYD LYNE DINEs, Professor of Mathematics, University of Saskatche-wan, Saskatoon, Canada. The Highest Common Factor of a System of Polynomials, with an Application to Implicit Functions. THEoDoRI-1 LINDoUIsT, Professor and Head of the Department of Mathe-matics, State Normal School, Emporia, Kan. Mathematics for Freshman Students of Engineering. RALPH EUGENE RooT, Professor of Mathematics, Graduate School, U.S. Naval Academy, Annapolis, Md. Iterated Limits in General Analysis. ALBERT HARR1s WILsoN, Associate Professor of Mathematics, Haverford College, Haverford, Pa. The Canonical Types of Nets of Quadratic Forms in the Galois Field of Order p."" EDwARD WILsoN CHI'I'I'ENDEN, Associate Professor of Mathematics, State University of Iowa, Iowa City, Iowa.. Infinite Developments and the Composition Property (KHBI), in General Analysis....""","Dissertations, Academic",,,1922
The Spectator,,"A weekly review of politics, literature, theology, and art.",English literature,,,1903
The Modern Language Review,"John George Robertson, Charles Jasper Sisson","Each number includes the section ""Reviews.""","Languages, Modern",,,1927
"Proceedings of the Fourth Workshop on Future Trends of Distributed Computing Systems, September 22-24, 1993, Lisbon, Portugal",,"Proceedings of the 4th Workshop on [title], held in Lisbon, Portugal in September 1993. Sessions are devoted to multimedia experiments, system management, multimedia protocols, future systems, groups and cooperative work, fault tolerance, design of distributed applications, object-oriented systems, network performance, software design and testing, real-time systems, algorithms and protocols, distributed network processing, specification, future networks, and operating systems issues. No index. Annotation copyright by Book News, Inc., Portland, OR.",Computers,,,1993
Younger by the Day,Victoria Moran,"Wouldn't it be wonderful to love your life through every age and stage of it? Appreciate yourself every step of the way? And have such vitality that, even though you're perfectly proud of the age you are, people routinely think you're several years younger? This happy state is the promise of Younger by the Day, a one - year program for aging in reverse with results that start as soon as you do -- and you can start any day of the year. Victoria Moran was baffled when midlife seemed to change everything, from the shape of her body to her visibility in society. She began a four - year journey, asking these questions: Why do some women blossom with age while others wither? How can you accept yourself as you are and still nurture yourself into becoming the best you can be? How can you draw from your inner wisdom everything you need to deal with the un-certainties of life as well the certainty of growing older? Victoria found the practical answers, and they are distilled here for you to put into use, one day at a time.",Health & Fitness,,,2009
The Historical Romances of Georg Ebers,Georg Ebers,v. 1. An Egyptian princess. Homo sum -- v. 2. Uarda. The burgomaster's wife -- v. 3. Cleopatra. Joshua -- v. 4. The bride of the Nile. A question -- v. 5. The emperor. The sisters -- v. 6. A thorny path. The elixir -- v. 7. In the fire of the forge. Only a word -- v. 8. Barbara Blomberg. In the Blue Pike -- v. 9. Margery. Serapis -- v. 10. Arachne. The story of my life.,German fiction,,,1880
Storyteller,Courtney E. Webb,Romance and intrigue in a small Central California town.,,,,2016
The Columbia Granger's Index to Poetry in Anthologies,Tessa Kale,"For over a hundred years, The Columbia Granger's Index to Poetry in Anthologies has been the preeminent index for answers to questions about the world of poetry, identifying the author of a poem or the anthologies in which it can be found when only a title, first line, or last line is known. This latest edition-a ""must have"" for libraries-brings its index up to date as of May 31, 2006. This latest version features 85,000 classic and contemporary poems by 12,000 poets. Also included are works in translation and for the first time poetry in Spanish, Vietnamese, and French. The subject organization of the poems is especially useful. Hundreds of new subjects have been added, indexing poems on highly relevant topics such as Osama bin Laden, the war in Iraq, Dick Cheney, the Internet, and Rosa Parks, as well as timeless subjects like the Bill of Rights, unspoken love, faith, and inspiration. Our impressive team of consultants includes J. D. McClatchy, Harvey Shapiro, and former poet laureate Mark Strand. From The Norton Anthology of Poetry (2005 edition) to Poetry after 9/11 and Garrison Keillor's Good Poems, this new edition puts readers in touch with the best of the latest anthologies and the lasting favorites.",Literary Criticism,,,2007
Friendship and Love in the Middle English Metrical Romances,Anna Hubertine Reuters,"«Friendship and Love in the Middle English Metrical Romances» groups together a representative cross-section of the genre, according to variants of love relationships, and to ideas of friendship. The horizontal and the vertical structure of the relatonship are tripartite. The horizontal stages are attraction, separation-testing-trial, and reunion, the vertical spheres are the personal, social/political, and religious. All relationships fail into two types, the restorative-concordant and the innovative-discordant. These are defined by the relative position of the partners in the social-political sphere of their relationship. The groups of relationship are defined by the initially more active partner: forward heroine, fairy mistress, forward hero, mutual love, married love; friendship, lords and retainers. Surveys of the Insular understanding of courtly love, and of Caxton's prose romances, complement the findings.",Foreign Language Study,,,1991
The Johns Hopkins University Circular,Johns Hopkins University,"Includes University catalogues, President's report, Financial report, etc.",,,,1895
Children's Catalog,H.W. Wilson Company,The 1st ed. includes an index to v. 28-36 of St. Nicholas.,Children's literature,,,1938
The Mystery Readers' Advisory,"John Charles, Joanna Morrison, Candace Clark","Three librarians from Scottsdale, Arizona provide library staff with an introduction to the mystery genre and offer tips and techniques for providing advice to mystery readers in the library. They include some of their own bibliographies, but refer readers elsewhere for fuller ones. They also include a brief history of the genre to pass on to readers new to it.",Language Arts & Disciplines,,,2002
"The ""Mystery of History"", its Functionalisation and Disintegration in Graham Swift’s ""Waterland""",Thorben Höppner,"Seminar paper from the year 2021 in the subject English Language and Literature Studies - Literature, grade: 1,0, , language: English, abstract: This paper investigates how the ambivalent, perhaps even ambiguous definition of ‘historia’ relates to the representation of history in the novel and how this representation again relates to its functionalisation by Tom Crick. To answer this question, this paper will primarily work with Linda Hutcheon’s notion of ‘historiographic metafiction’ while also pointing out similarities to the reading of Waterland as a trauma narrative. In taking a closer look at the protagonist-narrator himself, this paper argues that the protection “from chaos and disorder”, which Landow addresses, is only achieved through a form of historical escapism. Superficially speaking, Graham Swift’s Waterland is a novel about a history teacher who, having lost his job, forsakes the formal teaching of history, and embarks on an extracurricular journey into his own past. However, upon closer examination, Waterland is more than that, a novel about history itself. It explores “the whole mystery of ‘history’”, as Swift himself puts it in the introduction to the novel (Waterland, xv). Thus, it is only logical that the novel prefaces its narrative with an insightful epigraph: a dictionary definition of the Latin word ‘historia’, from which the English word ‘history’ originates. As can be seen above, however, said definition is ambivalent- it is “inherently polysemantic” as Judith Ryan notes. James Acheson has likewise pointed out that the fact that “historia can mean either history or fiction is significant, for the historian and the writer of fiction must deal with similar problems in writing about the past”. The natural tendency of language towards proliferation of its meaning aside, the epigraph leaves us with a very ambivalent concept of history, which the narrative of Waterland, in its dealing with history, then builds on. Since such a prominent theme in Waterland, the novel’s representation of history has been thoroughly examined in secondary literature; particularly against the theoretical background of what Linda Hutcheon has identified as ‘historiographic metafiction’.",Literary Criticism,,,2023
The Mystery of Metropolisville,Edward Eggleston,"The Mystery of Metropolisville centers on a tragic boating accident on ""Diamond Lake"" in ""Metropolisville,"" which lies near the ""Big Gun River"" in ""Wheat County."" The plot is populated with various Western types, such as a seedy land speculator named Mr. Plausaby, his beautiful step-daughter Katy, a college student from back east who falls in love with Katy, Whiskey Jim the stage-coach driver, and a displaced Hoosier poet in a sod cabin",Fiction,,,1873
Case Closed #1: Mystery in the Mansion,Lauren Magaziner,"Pick-your-own-path and puzzle-packed mystery collide in the first book in Lauren Magaziner’s hilarious and high-stakes four-book middle grade series in which the reader must help Carlos and his friends put together the clues to save his mom’s detective agency. In this wildly entertaining and interactive adventure, YOU pick which suspects to interview, which questions to ask, and which clues to follow. You pick the path—you crack the case! Carlos Serrano has never solved a mystery in his life. But when Carlos’s mom gets sick with a flu on the morning of an investigation that could save her failing detective agency, Carlos takes on the case. With the help of his best friend, Eliza, and her wild little brother, Frank, Carlos must uncover a mystery involving an eccentric local millionaire, anonymous death threats, and a buried treasure. But with tricky riddles, cagey suspects, hidden secrets, and dozens of impossible choices, they need your help! Can you help Carlos and his friends find the culprit and save Las Pistas Detective Agency? Or will it be case closed? Middle grade readers will enjoy all four books in this favorite series: Mystery in the Mansion (#1), Stolen from the Studio (#2), Haunting at the Hotel (#3), and Danger on the Dig (#4)!",Juvenile Fiction,5.0,1.0,2018
"Myth, Magic and Mystery","Trinkett Clark, Henry Nichols Blake Clark","A collection of works of well-known children's book illustrators such as N.C. Wyeth, Chris Van Allsburg, Maurice Sendak, Dr. Seuss, Edward Gorey, Tomi Ungerer, and others",Art,,,1996
The Mystery Play,Grant Morrison,"""Accusation and suspicion threaten to tear a small English town apart when the actor playing God in a local religious play is brutally murdered. Into this turmoil comes a detective who is not what he seems, a man caught in a desperate race to unlock the secret of the town's redemption-- and his own""--Page 4 of cover.",Comics & Graphic Novels,,,1994
Stage & Screen 101 Greatest Movies of Mystery & Suspense,Otto Penzler,"""A must-have for discriminating film buffs and mystery lovers alike, this informative guide is packed with plot twists, cast lists, delectable bits of fun, and often scandalous trivia. Organized chronologically, the contents include the finest Hitchcockian suspense movies, the toughest gangster flicks, the wittiest Thin Man titles, the bleakest noir films, and much much more.""--Book cover",Detective and mystery films,,,2000
The Mystery in New York City,Carole Marsh,Four children see many of New York City's landmarks in their quest to solve the disappearance of the Statue of Liberty's torch.,Juvenile Fiction,5.0,1.0,2003
Three for the Chair,Rex Stout,"Follow the world’s greatest detective, Nero Wolfe, on a trail of money, mayhem, and murder in three cases of capital crime. The trail of bodies begins with the death of a self-made millionaire, a fortune in uranium, and the perfect weapon . . . which no longer exists. Then it’s on to a rural lodge to teach two arrogant billionaires, a foreign ambassador, and a famous diplomat that murder is bad for business. Finally, it’s a case of politics making the strangest of bedfellows when a fake millionaire becomes a real corpse in the state capital and the evidence has Nero and Archie in the hot seat. Introduction by Sharyn McCrumb “It is always a treat to read a Nero Wolfe mystery. The man has entered our folklore.”—The New York Times Book Review A grand master of the form, Rex Stout is one of America’s greatest mystery writers, and his literary creation Nero Wolfe is one of the greatest fictional detectives of all time. Together, Stout and Wolfe have entertained—and puzzled—millions of mystery fans around the world. Now, with his perambulatory man-about-town, Archie Goodwin, the arrogant, gourmandizing, sedentary sleuth is back in the original seventy-three cases of crime and detection written by the inimitable master himself, Rex Stout.",Fiction,,,1994
"Kid's Activity Bible, the Complete Text with Hundreds of Fascinating Puzzles and Fun Activities",Activity Bible Kids,"5 interactive puzzles 25 crossword puzzles 50 word searches 38 mystery puzzles and answers For children ages 8-14 % 1,430 pp.",Bibles,,,1998
Ghost in Trouble,Carolyn Hart,"A clever ghost springs into action to protect her former enemy from a slew of possible killers in this cozy mystery by an Agatha Award–winner. When Bailey Ruth Raeburn passed over into the great beyond, she was delighted to discover her sleuthing days would last an eternity. Joining Heaven's Department of Good Intentions, she uses her unique advantages as a ghost—sometimes you see her, sometimes you don't—to help those in need and ensure the wicked get their just deserts. However, on this latest mission, Bailey Ruth finds it more difficult than ever to keep up with her boss Wiggins's rules for good spirit deportment. Not only is the woman she is supposed to save determined to thwart Bailey Ruth's good intentions at every turn, she just so happens to be one of Bailey Ruth's oldest enemies. Not that that should matter to one of Heaven's best and brightest emissaries, but still, there is only so much a person can put up with—living or dead. But solving Bailey Ruth's toughest case yet means managing a recalcitrant charge, a fraudulent medium, a mother's heartbreak, old passions and new, and a telltale rawhide dog bone. Heaven help her! Praise for Ghost in Trouble ""Charming. . . . Bailey with her sunny Pollyanna attitude makes an irresistible cozy sleuth."" — Publishers Weekly ""Delightful Bailey Ruth solves the tough case with panache."" — Kirkus Reviews",Fiction,,,2023
Mystery of the Wax Museum,Richard Koszarski,"The Depression-era vogue for horror and the supernatural produced some of Hollywoood's most memorable chillers, among them ""Dr. Jekyll and Mr. Hyde"" (Paramount), ""Frankenstein,"" (Universal), and ""King Kong"" (RKO). At Warner Brothers, the main entry was ""Mystery of the Wax Museum,"" directed by Michael Curtiz, a grand thriller of 1933 in which Fay Wray (Who would appear opposite Kong later that same year) was threatened with waxy immortality by the maniacal Lionel Atwill.",Drama,,,1979
She Stopped for Death,Elizabeth Kane Buzzelli,"Jenny Weston and her mother, Dora, have been receiving strange midnight visits. Bear Falls's own elusive and highly secretive poet, Emily Sutton, has lived her life cloistered away with her sister in a house at the edge of Pewee Swamp. But now, Emily's started leaving scraps of poetry in Dora's Little Library, and Dora makes it her mission to befriend the sheltered woman. Meanwhile Zoe Zola, almost famous author, Little Person, and the Weston's quirky next-door neighbor, is hard at work on a new book, this one about the inner life of Emily Dickinson. And once again, Zoe's literary work starts making uncanny connections with the events in her own world as Emily Sutton reemerges into society. But Zoe begins to suspect things aren't anywhere near normal at Emily's swamp house or in the lives of the people she claims have abandoned her...until looking further into the poet's half-truths leads Zoe and Jenny to a horrible murder. The chaos surrounding the ensuing investigation grows even more hectic with Emily’s increasingly erratic behavior, the arrival of a young woman searching for her missing poet uncle, and yet another betrayal in Jenny's love life. And only poetry can set the truth free in Elizabeth Kane Buzzelli's charming second Little Library mystery, She Stopped for Death.",Fiction,,,2017
The Snatch,Bill Pronzini,"The author's second novel and the first in the Nameless Detective series.In his first chronicled adventure, the Nameless detective hires on to handle the ransom payoff in a kidnapping case. Financier Louis Martinetti doesn't trust the police to deal with the man who snatched his 9-year-old son from his military prep school, nor is it clear that he trusts the members of his own household. On the appointed evening, Nameless takes a briefcase that contains $300,000 in cash to a secluded location chosen by the kidnapper. Then all hell breaks loose.",Fiction,,,2011
Death at an English Wedding,Sara Rosett,"Tying the knot was never so deadly . . . Wedding bells are ringing for location scouts Kate and Alex in a ceremony at one of England’s most elegant stately homes, but when a guest is murdered and suspicion falls on those closest to Kate, she and Alex must put their plans for happily ever after on hold. If they can’t figure out who sabotaged their big day, their honeymoon may be over before it begins. Death at an English Wedding is the seventh installment in the popular Murder on Location series from USA Today bestselling author Sara Rosett, which features an English village and quirky characters along with dashes of humor and romance. Indulge your inner Anglophile with Sara Rosett’s English village cozy today! MURDER ON LOCATION SERIES: Book One - Death in the English Countryside Book Two - Death in an English Cottage Book Three - Death in a Stately Home Book Four - Death in an Elegant City Book Five - Menace at the Christmas Market (Novella) Book Six - Death in an English Garden Book Seven - Death at an English Wedding Have you read Sara Rosett’s other mystery series? If you like historical mysteries with lady detectives, check out the HIGH SOCIETY LADY DETECTIVE mystery series. If you like travel with your mystery, check out the ON THE RUN INTERNATIONAL MYSTERIES.",Fiction,,,2017
Original Secrets,Shawn McGuire,"The Northwoods village of Whispering Pines used to be a safe haven for outsiders, but after three deaths in two months, it’s become a hotbed of murder. Exhausted from being the only law enforcement official on duty, while also trying to open a bed-and-breakfast, Jayne O’Shea welcomes the escape she finds in her grandmother’s journals. Each entry gives her a deeper understanding of why her grandparents moved to the secluded spot so long ago. But as questions are answered, deeply hidden secrets are unearthed. If Jayne can put all the pieces of this puzzle together, she’ll not only learn the truth behind her grandmother’s death, she’ll catch a killer whose been wandering the village for forty years.",Fiction,,,2018
A Deathly Display,Kirsten Weiss,"Can Maddie’s sleuthing save her sister from a deadly encore? Maddie and her sidekick Herb are just trying to survive a snooty curation class at the Domus Vinea museum. But then Maddie’s opera-diva sister, Melanie, trips over the museum director’s body. Suddenly, the vibe’s less “classy art seminar” and more “murder most melodramatic.” With a sneaky killer eyeing Melanie for the next curtain call, if Maddie can’t solve this mystery, Melanie’s next aria could be her last. Maddie and her quirky crew must bumble through a lineup of suspects, including a swoon-worthy vintner whose haunted painting hides a chilling secret—and whose charm might just steal Maddie’s heart. Grab A Deathly Display and start reading this hilarious whodunit today! The Paranormal Museum Series #1 The Perfectly Proper Paranormal Museum #2 Pressed to Death #3 Déjà Moo #4 Chocolate á la Murder #5 Damsel in a Dress #6 Going, Going, Dead #7 Deadly Divination #8 Dead End Donation #9 Sins of the Sarcophagus #10 The Cannoli Caper #11 A Deathly Display Search terms: cozy mystery, B&B mystery, small town mysteries, funny cozy mystery books, cozy mystery with humor, smart female detective, amateur sleuth, light paranormal mystery, paranormal cozy mystery, wine country, light romance, small-town mysterie, ghosts, cat, paranormal museum. Perfect for fans of Tonya Kappes, Addison Moore, Maggie Aldrich, Nova Nelson, Pepper Frost, Ellie Alexander, Maddie Day, Lauren Elliott, Rosie A. Point, Kathi Daley, Laura Pauling, Beth Dolgner, Nancy Warren, Lily Harper Hart, Erin Johnson, and Amanda M. Lee. For readers who crave a cozy mystery about a woman finding belonging through small-town, wine-country, sleuthing and the gentle absurdity of everyday hauntings. Perfect if you like breezy pacing, light supernatural quirks, and warm humor over gritty tension—think vintage charm, quirky neighbors, and just-enough chills to keep pages turning without losing sleep. Book 11 in the series.",Fiction,,,2026
Whodunit?,Rosemary Herbert,"Who populates the pages of crime and mystery writing? Who are the characters we willingly follow into the mystery genre's uneasy imaginative territory? And who created those characters in the first place? What life experience and expertise informs their work? What are the sources of their themes, regional accents, and even the axes that some grind? Why do some wish to give us a good laugh, while others seem hell-bent on making us shudder? Whodunit? answers these questions and more. Here mystery expert Rosemary Herbert brings together enlightening and entertaining information on hundreds of classic and contemporary characters and authors. Some--such as P.D. James, Ian Rankin, Sherlock Holmes, and Kinsey Millhone--appear in individual entries. Still more keep company in articles about characters we admire, such as the Clerical Sleuth, and in pieces about those we love to hate, including the Femme Fatale and Con Artist. There is even an article on a figure that haunts so many great works of mystery--The Corpse. Drawing on the Edgar Award-nominated volume The Oxford Companion to Crime & Mystery Writing, Herbert adds 101 new entries on the hottest new names in works ranging from puzzling whodunits to chilling crime novels.",Fiction,,,2003
Fresh Slices,"New York Tri-State Chapter of Sisters in Crime, Terrie Farley Moran, Clare Toohey, Catherine Maiorisi, Cynthia Benjamin, Susan Chalfin, Fran Cox, Laura K. Curtis, Eileen Dunbaugh, Lois Karlin, Lynne Lederman, Leigh Neely, Anita Page, Triss Stein, Cathi Stoler, Anne-Marie Sutton, Joan Tuohy, Deirdre Verne, Stephanie Wilson-Flaherty, Lina Zeldovich, Elizabeth Zelvin, K.J.A. Wishnia","Slices of life beyond the tourist's view. By turns funny, tough, and somber, the twenty-one helpings of New York attitude in Fresh Slices reveal neighborhoods both rich and poor, where old-timers desperately protect their secrets and brand-new arrivals indulge dangerous appetites. There is as much variety in the tones, settings, and approaches as in Gotham itself, and yet each of these crime stories also reflects the city's most infectious and unifying principle, that special combination of adaptability and assertiveness dished out more often than any pizza or street meat. In this, Fresh Slices’ second edition, urban short stories offer action-packed mystery that moves from cozy to noir. The sleuths, police officers and investigators who grapple with crime in these pages are richly drawn and engagingly authentic. Written by local members of the New York / Tri-State chapter of Sisters in Crime the anthology and edited by Agatha nominee Terrie Farley Moran, Fresh Slices is second in the Murder New York series and features tales from the most ethnically diverse and densely populated city in America.",Fiction,,,2014
Last Things,Ralph McInerny,"Father Dowling is used to unsolicited knocks on the rectory door, having done more than his share of counseling and assisting in delicate situations during his long career. So when Eleanor Wygant comes to visit Father Dowling he receives her graciously, though she is a stranger. As it turns out, members of her family are longtime parishioners of St. Hillary's, and it soon becomes clear that with family trouble brewing, Eleanor doesn't know where else to turn. When she enlists Father Dowling's help in persuading her niece Jessica to scrap the tell-all family novel she is writing and concentrate on more earthly pursuits, the venerable priest has little idea how enmeshed he is about to become in the family's edgy interrelations. For in recent years, the family has had its share of melodrama, including a philandering patriarch, a son who left the priesthood to take up with an ex-nun, and an underachieving academic, and it's up to Dowling to piece together their shared history in the hopes of putting their demons-and a vicious, previously unknown murder-to rest. In the hands of Ralph McInerny, one of mystery fiction's most beloved authors, Last Things is as delightful as his legions of fans have come to expect from the charming Father Dowling series.",Fiction,,,2003
"Shaken Spirits (A Daisy Gumm Majesty Mystery, Book 14)",Alice Duncan,"Daisy Gumm Majesty is in for a bumpy ride—literally—in this lively 1925 Pasadena mystery filled with danger, humor, and just a dash of romance. The New Year's Day Rose Parade is supposed to be a time for celebration, but Daisy's day takes a shocking turn when a speeding motorcar barrels into her, leaving her bruised, battered, and with a dislocated shoulder. At first, she chalks it up to bad luck—until it's clear someone is trying to finish the job. As her detective fiancé, Sam Rotondo, investigates, Daisy finds herself dodging more than just pain and indignation. Between well-meaning neighbors, an outpouring of sympathy (and baked goods), and her own stubborn refusal to stay in bed, Daisy must figure out who wants her dead before her next parade appearance is in a funeral procession. If only catching criminals were as easy as catching spirits... Alice Duncan spent years avoiding what she knew she should be doing—writing—by professionally folk dancing instead. Eventually, her muse won the battle, and she's been crafting engaging historical cozy mysteries ever since. Now a proud resident of Roswell, New Mexico, Alice enjoys the lack of smog and crowds while spoiling her beloved herd of wild dachshunds. Visit her at www.aliceduncan.net. Don't miss a moment of the action with Daisy and her cadre of friends as they solve mysteries in 1920s Pasadena! Each story stands alone but is best enjoyed in order. Strong Spirits Fine Spirits High Spirits Hungry Spirits Genteel Spirits Ancient Spirits Spirits Revived Dark Spirits Spirits Onstage Unsettled Spirits Bruised Spirits Spirits United Spirits Unearthed Shaken Spirits Scarlet Spirits Exercised Spirits Wedded Spirits Domesticated Spirits Library Spirits Spirits Adopted Rosy Spirits",Fiction,,,2019
Murder and Moonshine,Carol Miller,"A young, recently-separated waitress at H & P's Diner in sleepy southwestern Virginia, Daisy hears more than her fair share of neighborhood gossip while serving plates of hash and peach cobbler. But when a reclusive old man, Dickerson, shows up at the diner one day, only to drop dead a few minutes later, Daisy quickly learns that some secrets are more dangerous to keep than others--especially when there's money and moonshine involved. Daisy finds herself caught between whiskey and guns; a handsome ATF agent and a moonshine-brewing sweet talker; and a painful past and a dangerous present. Not sure any longer who she can trust, Daisy must turn sleuth while also protecting her sick mother and keeping a handle on Aunt Emily, her goading, trigger-happy landlord.",Fiction,,,2013
American Mystery and Detective Novels,Larry N. Landrum,A guide to research on American mystery and detective novels emphasizing the historical development of the genre and major critical approaches to the literature.,Literary Criticism,,,1999
The Leak,Jacques Futrelle,"Jacques Futrelle's ""The Leak"" is a gripping mystery that masterfully entwines elements of suspense and psychological tension. Set against the backdrop of an early 20th-century society undergoing rapid transformation, the narrative unfolds through deftly crafted prose that reflects the author's sharp insight into human behavior. Futrelle employs intricate plot development and vivid characterization, transporting readers into a world where the boundaries between trust and betrayal are constantly tested. The thematic exploration of personal ambition and ethical dilemmas resonates powerfully with modern audiences, making it a timeless exploration of moral complexity. Jacques Futrelle, a prolific American author best known for his contributions to the mystery genre, had a profound interest in science and logic, which is reflected in his writing style. His penchant for crafting puzzles within his narratives stemmed from his fascination with the intellectual challenges of the early 1900s. Futrelle was also a prominent figure in the literary community of his time, and his work often showcases the societal changes that accompanied the dawn of the new century. ""The Leak"" is recommended for anyone who enjoys a meticulously plotted mystery laced with psychological nuances. Readers who appreciate the interplay of character motivations and moral questions will find Futrelle'Äôs work both thought-provoking and compelling. This novel is not just a story; it's an exploration of the human condition, making it a must-read for enthusiasts of the genre.",Fiction,,,2021
Fatal Flowers,Jess Dylan,"Fatal Flowers is the third in a colorful cozy mystery series from Jess Dylan, set in the Flower House—where you're as likely to find a killer as a chrysanthemum. As Aerieville, Tennessee's Flower House finally gains in popularity, Sierra Ravenswood finds herself feeling ready for new challenges. Luckily, the shop has grabbed the attention of the mayor's daughter, and bride-to-be, Marissa Lakely. Sierra is thrilled, and nervous, to land her most important job yet: providing flowers for the biggest wedding Aerieville has ever seen. Fortunately, Marissa bucks all stereotypes and is far from a bridezilla—but her wedding planner, Taz Banyan, has apparently taken on the role for himself. He's uptight, intense, and a little intimidating. But Taz aside, everything seems to be under control...until Sierra makes a startling discovery in the great room: the wedding planner, lying in a heap at the bottom of the stairs, in very bad shape. In fact, he survives only long enough to mutter: ""It was the snake."" As Granny Mae would say, seeing a snake is rarely a good sign, and this was clearly no exception. With the town on edge and the wedding up in the air, Sierra refuses to stop asking questions in her determination to put an end to this latest danger—so both Aerieville and the Flower House can flourish once more.",Fiction,,,2022
Strange Brew,Mary Kay Andrews,"“Callahan Garrity mops up the scene in an Atlanta neighborhood where murder meets its match in this feisty, funny heroine. Strange Brew offers up a tidy mystery with a polished writing style and industrial strength suspense.” — Sue Grafton The sixth book in the Callahan Garrity mystery series by New York Times bestselling author Mary Kay Andrews finds the beloved sleuth facing a brew of community troubles—as her bohemian Atlanta neighborhood morphs into a trendy haven for yuppies—and an old flame. Cleaning lady turned sleuth Callahan Garrity has cautiously watched her hometown be transformed—and just as she fears, too much cappuccino and new money can be a bad mix. When the young owner of a microbrewery looking to score prime real estate turns up dead, neighborhood local Wuvvy—an aging flower child and the brewster’s biggest foe—becomes the prime suspect. Digging for evidence to clear Wuvvy, Callahan isn’t prepared for the succulent secrets she finds, nor the shocking truths that force her to reassess old friendships and an old love. The Callahan Garrity novels can be read in any order, but the full series includes: Every Crooked Nanny To Live and Die in Dixie Homemade Sin Happy Never After Heart Trouble Strange Brew Midnight Clear Irish Eyes",Fiction,,,2009
